exam1_score,exam2_score,admitted
75,85,1
48,52,0
82,88,1
45,48,0
68,72,1
58,82,1
52,55,0
72,78,1
65,62,0
88,92,1
42,45,0
78,75,1
55,58,0
62,85,1
45,78,1
58,52,0
72,68,1
48,82,1
85,88,1
52,48,0
68,88,1
45,52,0
75,78,1
62,58,0
82,85,1
55,75,1
78,82,1
48,55,0
85,92,1
58,62,0
72,85,1
45,72,1
88,85,1
52,58,0
68,75,1
42,48,0
82,78,1
55,52,0
75,88,1
58,85,1
72,92,1
48,58,0
85,82,1
62,65,0
78,88,1
45,55,0
88,92,1
52,62,0
68,78,1
58,72,1
92,95,1
87,90,1
83,88,1
77,82,1
73,78,1
69,74,1
64,68,0
61,65,0
57,62,0
54,58,0
51,54,0
47,52,0
44,48,0
41,45,0
63,88,1
67,85,1
71,82,1
76,87,1
81,92,1
86,88,1
91,94,1
56,51,0
53,48,0
49,45,0
46,42,0
43,40,0
66,71,1
70,76,1
74,79,1
79,84,1
84,89,1
89,93,1
93,96,1
59,54,0
50,47,0
45,43,0
42,39,0
65,90,1
69,87,1
73,83,1
77,88,1
82,91,1
87,94,1
92,95,1
57,53,0
54,49,0
51,46,0
48,44,0
44,41,0
67,73,1
71,77,1
75,81,1
80,86,1
84,90,1
88,93,1
93,96,1
60,56,0
55,51,0
45,45,1
89,89,0
75,75,1
46,46,0
45,80,1
80,40,1
55,59,0
71,80,1
39,69,0
90,75,1
60,59,1
77,77,1
