episode,step,agent_x,agent_y,action,reward,done,success,episode_success
0,0,0,0,0,-1.0,False,False,False
0,1,0,1,3,-1.0,False,False,False
0,2,0,1,0,-1.0,False,False,False
0,3,0,2,0,-1.0,False,False,False
0,4,0,3,0,-1.0,False,False,False
0,5,0,4,0,-1.0,False,False,False
0,6,0,4,1,-1.0,False,False,False
0,7,1,4,0,-1.0,False,False,False
0,8,1,4,1,-1.0,False,False,False
0,9,2,4,3,-1.0,False,False,False
0,10,1,4,2,-1.0,False,False,False
0,11,1,4,3,-1.0,False,False,False
0,12,0,4,2,-1.0,False,False,False
0,13,0,3,1,-1.0,False,False,False
0,14,0,3,2,-1.0,False,False,False
0,15,0,2,1,-1.0,False,False,False
0,16,1,2,0,-1.0,False,False,False
0,17,1,2,1,-1.0,False,False,False
0,18,1,2,2,-1.0,False,False,False
0,19,1,2,3,-1.0,False,False,False
0,20,0,2,2,-1.0,False,False,False
0,21,0,1,1,-1.0,False,False,False
0,22,0,1,2,-1.0,False,False,False
0,23,0,0,1,-1.0,False,False,False
0,24,1,0,0,-1.0,False,False,False
0,25,1,0,1,-1.0,False,False,False
0,26,2,0,3,-1.0,False,False,False
0,27,1,0,1,-1.0,False,False,False
0,28,2,0,0,-1.0,False,False,False
0,29,2,1,0,-1.0,False,False,False
1,0,0,0,2,-1.0,False,False,False
1,1,0,0,0,-1.0,False,False,False
1,2,0,1,1,-1.0,False,False,False
1,3,0,1,0,-1.0,False,False,False
1,4,0,2,3,-1.0,False,False,False
1,5,0,2,0,-1.0,False,False,False
1,6,0,3,3,-1.0,False,False,False
1,7,0,3,0,-1.0,False,False,False
1,8,0,4,3,-1.0,False,False,False
1,9,0,4,3,-1.0,False,False,False
1,10,0,4,2,-1.0,False,False,False
1,11,0,3,1,-1.0,False,False,False
1,12,0,3,2,-1.0,False,False,False
1,13,0,2,1,-1.0,False,False,False
1,14,1,2,0,-1.0,False,False,False
1,15,1,2,1,-1.0,False,False,False
1,16,1,2,3,-1.0,False,False,False
1,17,0,2,2,-1.0,False,False,False
1,18,0,1,2,-1.0,False,False,False
1,19,0,0,2,-1.0,False,False,False
1,20,0,0,2,-1.0,False,False,False
1,21,0,0,3,-1.0,False,False,False
1,22,0,0,1,-1.0,False,False,False
1,23,1,0,2,-1.0,False,False,False
